比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
27777,1,1,0,1,3,3,11,2,5,2,2,6,1,3,4,7,11,3,6,3,5,8,3,4,4.171429
27779,1,0,2,1,1,2,11,1,5,1,2,11,1,5,2,3,3,1,3,2,3,3,1,3,7.000000
27780,1,3,0,1,2,3,4,2,2,0,0,0,0,0,1,0,8,0,6,0,0,0,0,0,6.800000
27783,1,1,0,1,3,3,8,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,4.000000
27784,1,0,1,1,2,1,1,1,0,1,0,1,0,0,3,0,9,0,5,1,0,4,0,2,1.800000
27785,1,3,1,1,2,5,1,4,1,1,2,1,2,1,2,6,2,3,0,0,0,0,0,0,4.733333
27786,1,2,0,1,5,12,4,5,1,3,6,1,2,0,2,1,1,0,0,1,0,0,0,0,1.150000
27787,0,0,0,1,2,1,1,1,0,1,1,1,1,0,1,1,4,0,3,0,0,0,0,0,3.200000
27788,1,1,0,1,3,7,7,4,2,3,7,7,4,2,2,4,4,2,0,1,2,3,2,0,3.733333
27789,1,2,0,1,1,1,2,1,1,1,1,2,1,1,2,4,2,1,1,2,4,2,1,1,3.000000
27790,1,0,1,1,3,7,5,5,2,3,7,5,5,2,3,5,9,4,2,3,5,9,4,2,4.666667
27791,1,3,1,1,2,6,2,3,1,1,2,2,0,1,1,2,5,2,4,1,2,5,2,4,7.333333
27793,1,0,3,1,3,4,4,2,2,1,1,3,1,2,4,16,8,9,3,3,13,6,7,2,5.014286
27794,1,1,1,1,6,15,10,8,7,1,6,0,3,0,2,1,2,0,2,2,1,2,0,2,3.485714
27795,1,0,2,1,3,5,4,3,0,1,2,1,2,0,4,9,5,3,3,1,1,1,1,1,3.100000
